指标,角色,问题,问题的不同的问法,问题类型,主题,指标名称,开始时间/基准时间,结束时间/对比时间,统计时效,维度(分组),限定条件,排序字段,排序方向,TopN,指标单位,精度,表,字段,答案-SQL部分,推荐的关联问题,结果+分析解读部分,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上个月母婴品类的销售额同比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店上个月母婴品类的销售额同比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,采购【总部】,营销【总部】",上周金枕榴莲销售额同比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上周华南区金枕榴莲销售额同比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上周西湖店金枕榴莲销售额同比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,营销【总部】",上个月线上渠道的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,营销【总部】",上个月母婴品类线上渠道的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,营销【总部】",上个月华南区线上渠道的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",上个月西湖店线上渠道的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",上个月西湖店母婴品类线上渠道的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区昨天的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,采购【总部】,营销【总部】",母婴品类昨天的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区母婴品类昨天的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店昨天的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,采购【总部】,营销【总部】",上周的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上周的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,采购【总部】,营销【总部】",母婴品类上周的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区母婴品类上周的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店上周的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,采购【总部】,营销【总部】",今年3月份的销售额环比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区今年3月份的销售额环比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,采购【总部】,营销【总部】",母婴品类今年3月份的销售额环比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类今年3月份的销售额环比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店今年3月份的销售额环比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,老板【总部】,上个月各区域的销售额环比增长率,,排名类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,采购【总部】,营销【总部】",上个月母婴品类的销售额环比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上个月母婴品类的销售额环比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店上个月母婴品类的销售额环比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,采购【总部】,营销【总部】",上周金枕榴莲销售额环比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上周华南区金枕榴莲销售额环比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上周西湖店金枕榴莲销售额环比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,营销【总部】",上个月线上渠道的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,营销【总部】",上个月母婴品类线上渠道的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,营销【总部】",上个月华南区线上渠道的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",上个月西湖店线上渠道的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售环比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",上个月西湖店母婴品类线上渠道的销售额环比,,指标类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,采购【总部】,营销【总部】",上个月在所有品类中，哪个品类的销售额贡献最大？,,指标类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上个月华南区所有品类中，哪个品类的销售额贡献最大？,,指标类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",上个月西湖店所有品类中，哪个品类的销售额贡献最大？,,指标类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上个月西湖店的生鲜品类中，哪个品类的销售额贡献最大？,,指标类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,采购【总部】,营销【总部】",去年，哪些品类对总销售额的贡献最大？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区去年，哪些品类对总销售额的贡献最大？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店去年，哪些品类对总销售额的贡献最大？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,采购【总部】,营销【总部】",上个月，哪些门店的销售贡献最高？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上个月，华南区哪些门店的销售贡献最高？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,采购【总部】,营销【总部】",上周，线上和线下渠道对销售的贡献分别是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上周，华南区线上和线下渠道对销售的贡献分别是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】",上周，西湖店线上和线下渠道对销售的贡献分别是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上周，西湖店母婴品类线上和线下渠道对销售的贡献分别是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,采购【总部】,营销【总部】",上个月，不同区域对整体销售额的贡献如何？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,采购【总部】,营销【总部】",上个月，对整体销售额贡献最高的10个商品是哪些？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上个月，对华南区销售额贡献最高的10个商品是哪些？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",上个月，对西湖店销售额贡献最高的10个商品是哪些？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上个月，对西湖店母婴品类销售额贡献最高的10个商品是哪些？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上个月，对华南区母婴品类销售额贡献最高的10个商品是哪些？,,分布类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,采购【总部】,营销【总部】",上个月，母婴品类的销售占比有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上个月，华南区母婴品类的销售占比有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售贡献,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上个月，西湖店母婴品类的销售占比有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",昨天金枕榴莲的销量是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",昨天华南区金枕榴莲的销量是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",昨天西湖店金枕榴莲的销量是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",昨天麒麟瓜卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",昨天各区域的麒麟瓜卖了多少斤？,,分布类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",昨天华南区麒麟瓜卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",昨天西湖店麒麟瓜卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",上个月牛奶草莓卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上个月华南区牛奶草莓卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上个月西湖店牛奶草莓卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",今年飞天茅台的销量是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",今年华南区飞天茅台的销量是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",今年西湖店飞天茅台的销量是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",今年美心月饼一共卖了多少盒？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",今年华南区美心月饼一共卖了多少盒？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",今年西湖店美心月饼一共卖了多少盒？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",上周芙蓉王卖了多少包？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上周华南区芙蓉王卖了多少包？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上周西湖店芙蓉王卖了多少包？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",本月基围虾卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",本月华南区基围虾卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",本月西湖店基围虾卖了多少斤？,,指标类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",本月金枕榴莲的销售趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",本月华南区金枕榴莲的销售趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",本月西湖店金枕榴莲的销售趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",近7天麒麟瓜的销售趋势怎样？,,趋势类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",近7天华南区麒麟瓜的销售趋势怎样？,,趋势类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",近7天西湖店麒麟瓜的销售趋势怎样？,,趋势类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,采购【总部】,营销【总部】",上个月西瓜类销售最高的商品是哪些？,,分布类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",上个月华南区西瓜类销售最高的商品是哪些？,,分布类,销售,,,,,,,,,,,,,,,,,
销量,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上个月西湖店西瓜类销售最高的商品是哪些？,,分布类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,营销【总部】",昨天的客单数是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,营销【总部】",为什么3月的客单数比2月低？,,归因类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】",今天华南区的客单数是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】",为什么上个月华南区的客单数同比下滑了？,,归因类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",今天西湖店的客单数是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数同比,"老板【总部】,营销【总部】",本周与上周相比，客单数有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数同比,"老板【总部】,区域经理【总部】,营销【总部】",本周与上周相比，华南区客单数有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",本周与上周相比，西湖店客单数有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,营销【总部】",本月的客单数是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】",本月华南区的客单数是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",本月西湖店的客单数是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数同比,"老板【总部】,营销【总部】",上个月，哪些区域的客单数同比增长最快？,,排名类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",昨天西湖店的客单数是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,营销【总部】",上个月，线上和线下渠道的客单数分别是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】",上个月，华南区线上和线下渠道的客单数分别是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",上个月，西湖店线上和线下渠道的客单数分别是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,营销【总部】",去年全年，客单数的月增长趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】",去年全年，华南区客单数的月增长趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
客单数,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",去年全年，西湖店客单数的月增长趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,营销【总部】",昨天的客单价是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,营销【总部】",为什么4月的客单价比3月下降了？,,归因类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】",华南区昨天的客单价是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】",华南区4月的客单价比3月增长的影响因素是什么？,,归因类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",西湖店昨天的客单价是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,营销【总部】",本周与上周相比，客单价有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】",华南区，本周与上周相比，客单价有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",西湖店，本周与上周相比，客单价有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,营销【总部】",本月的客单价是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】",华南区本月的客单价是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",西湖店本月的客单价是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,营销【总部】",上个月，哪些区域的客单价增长最快？,,排名类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",昨天西湖店的客单价是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,营销【总部】",上个月，线上和线下渠道的客单价分别是多少？,,排名类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】",华南区上个月，线上和线下渠道的客单价分别是多少？,,排名类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",西湖店上个月，线上和线下渠道的客单价分别是多少？,,排名类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,营销【总部】",去年全年，客单价的月增长趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】",去年全年，华南区客单价的月增长趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
客单价,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",去年全年，西湖店客单价的月增长趋势如何？,,趋势类,销售,,,,,,,,,,,,,,,,,
销售成本额,采购【总部】,昨天的销售成本额是多少？,,指标类,成本,,,,,,,,,,,,,,,,,
销售成本额,采购【总部】,华南区昨天的销售成本额是多少？,,指标类,成本,,,,,,,,,,,,,,,,,
销售成本额,"采购【总部】,采购【门店】",西湖店昨天的销售成本额是多少？,,指标类,成本,,,,,,,,,,,,,,,,,
销售成本额,采购【总部】,上个月每个区域的销售成本额分别是多少？,,分布类,成本,,,,,,,,,,,,,,,,,
销售成本额,采购【总部】,3月份每天的销售成本额如何？,,趋势类,成本,,,,,,,,,,,,,,,,,
销售成本额,采购【总部】,华南区3月份每天的销售成本额如何？,,趋势类,成本,,,,,,,,,,,,,,,,,
销售成本额,"采购【总部】,采购【门店】",西湖店3月份每天的销售成本额如何？,,趋势类,成本,,,,,,,,,,,,,,,,,
销售成本额,"采购【总部】,采购【门店】",本季度到目前为止，西湖店和科技园店各自的销售成本额是多少？,,指标类,成本,,,,,,,,,,,,,,,,,
销售成本额,采购【总部】,去年，母婴品类的销售成本额是多少？,,指标类,成本,,,,,,,,,,,,,,,,,
销售成本额,采购【总部】,去年，华南区母婴品类的销售成本额是多少？,,指标类,成本,,,,,,,,,,,,,,,,,
销售成本额,"采购【总部】,采购【门店】",去年，西湖店母婴品类的销售成本额是多少？,,指标类,成本,,,,,,,,,,,,,,,,,
销售成本额,"采购【总部】,采购【门店】",上周，线上渠道的总销售成本额是多少？,,指标类,成本,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",本月的毛利额是多少？,"本月的毛利额有多少？
这个月的毛利是多少？
毛利额，这个月的？
这个月，毛利怎样？
毛利额，本月的？
本月毛利额如何？
这个月的毛利情况怎样？
本月的毛利额情况？
毛利额，本月？
这个月毛利额有多少？
毛利额，这个月的有多少？
本月毛利额情况怎样？
这个月的毛利额情况？
毛利额，本月的怎样？
本月毛利额情况如何？
这个月毛利额情况如何？",指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",为什么4月的毛利额比去年低？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",为什么4月的毛利额环比下滑了？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区本月的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",为什么华南区4月的毛利额同比下降了？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店本月的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",为什么西湖店3月的毛利额比2月下降了？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类本月的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",为什么西湖店母婴品类3月的毛利额比去年3月下降了？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",5月的毛利额是多少？,"5月的毛利额情况如何？
五月份的毛利额是多少？
毛利额，五月？
五月的毛利额情况？
毛利额，五月的？
五月毛利如何？
毛利额，五月的有多少？
五月的毛利额情况？
毛利额，五月的怎样？",指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区5月的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店5月的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类5月的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",上个月各区域的毛利额分别是多少？,"上个月，每个区域的毛利额是多少？
各区域在上个月的毛利额情况如何？
上月，区域毛利额的分布情况？
各区域上个月的毛利额分别怎样？
上个月，区域毛利额是怎样的？
各区域毛利额，上个月的？
上个月的毛利额，按区域来看？
各区域上月的毛利额是多少？
上个月，区域毛利额分别多少？
毛利额，上个月各区域的？
上月毛利额，按区域分？
各区域的毛利额，上个月分别如何？
上个月，区域毛利额的具体情况？
毛利额，上个月各区域分别多少？
上个月，各区域毛利额的详细情况？
各区域的毛利额，上月分别怎样？
4月，区域毛利额的比较？
毛利额，上个月各区域的对比？
上月，各区域毛利额的排序情况？
各区域上个月毛利额的高低排序？
4月份，毛利额在各区域的分布？
各区域毛利额，上个月的对比？
上月，区域毛利额的高低？
毛利额在各区域，上个月的分布情况？
上个月，各区域毛利额的高低顺序？
上一月份的各地区的毛利额是多少？
各地区的毛利额在上一月分别是多少？
毛利额在上个月的地区分布情况如何？
上月度，各地区的毛利额分别怎样？
各地区的毛利额，上个月的总和是多少？
上个月，各地域的毛利额是多少？
地域毛利额的上个月情况是怎样的？
上一月度，各地域的毛利额分别多少？
上个月的毛利额，按地域来看是怎样的？
各地域上个月的毛利额是多少？
上一月份，各地域毛利额的详细情况？
上个月，地域毛利额的比较情况如何？
上个月，各地域毛利额的高低排序是怎样的？
各地域毛利额，上个月的排序情况如何？
上一月份，毛利额在各地域的分布状况如何？
上个月，各地域毛利额的高低顺序是怎样的？
各地域毛利额，上个月的比较结果如何？
上月度，地域毛利额的高低？
上个月，各区域的毛利润分别是多少？
各区域的毛利润，上个月的总和是多少？
上一月份，各区域的毛利润分布情况如何？
上月度，各区域的毛利润分别怎样？
各区域的毛利润，上个月的是多少？",分布类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",昨天各门店的毛利额排名情况如何？,"昨天各分店毛利额的排名情况是怎样的？
前一天分店毛利额排名如何？
昨日门店毛利额的排行榜情况如何？
各门店的毛利额排行榜是如何的，昨天？
门店毛利额的排名顺序怎样，前一天？
毛利额排名，分店的，昨日？
分店毛利额排名情况如何，昨天？
毛利额排名，门店的，前一天？
各门店的毛利额排名情况怎样，昨日？
毛利额排名，各分店的，昨天？
各分店毛利额的排名情况怎样，前一天？
毛利额排名，各门店的如何，昨日？
门店毛利额排名情况如何，前一天？
毛利额排名，分店的如何，昨天？
各分店毛利额的排名顺序如何，前一天？
毛利额排名，门店的怎样，昨日？
门店毛利额排名情况如何，前一天？
各分店的毛利额排名情况怎样，昨日？",排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",昨天华南区各门店的毛利额排名情况如何？,,排名类,毛利,,,,,,,,,,,,,,,,,
