指标,角色,问题,问题的不同的问法,问题类型,展示方式,小程序跳转页面名称,小程序跳转页面路径,PC端跳转页面名称,PC端跳转页面路径,主题,精度,表,字段,维度(分组).1,维度限定条件,日期限定条件,维度(分组)（包括表名）,维度限定条件（包括表名）,答案-SQL部分,推荐的关联问题,结果+分析解读部分,意图识别场景,意图识别场景流程,意图识别场景参数
婴儿用品毛利额占比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",深圳XXX路店上月婴儿用品毛利额占总毛利额的百分比是多少？,,指标类,单指标卡片,,,,,毛利,"{ ""accuracy"":{ ""毛利额占比"":2 } , ""joint"":{ ""毛利额占比"":""%"" } } ",,,,,成本.销售日期='上个月',,,"select      (sum(case when d.category_name_level1 = '婴儿用品' then a.profit_amt else 0 end) / sum(a.profit_amt)) * 100   as '毛利额占比'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item d on a.item_id = d.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where month(a.business_date) = month(date_sub(curdate(), interval 1 month)) and year(a.business_date) = year(date_sub(curdate(), interval 1 month)) and c.store_name = '深圳XXX路店'",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,采购【总部】,营销【总部】",今年的累计毛利额是多少？,"今年到目前为止的毛利额总计是多少？
毛利额，今年累计的有多少？
本年度的总毛利润累计情况怎样？
今年的全年毛利总和是多少？
累计毛利额，今年有多少？
今年的毛利额累计起来有多少？
毛利额，今年累计的总和如何？
今年到目前为止的毛利润总和怎样？
本年度的毛利额累计起来是多少？
今年毛利额的累计总和如何？
毛利额，今年累计的总计怎样？
今年到目前为止的毛利额总和如何？
毛利额，今年的累计情况如何？
本年度的总毛利润累计是多少？
今年毛利额累计的总和怎样？
毛利额，今年到目前为止的累计是多少？
今年的全年毛利额累计总和如何？
毛利额，今年累计的总计怎样？
今年到目前为止的毛利润累计总和有多少？
本年度毛利额累计的总计如何？
今年毛利额累计的总和情况怎样？
毛利额，本年度累计的有多少？
今年到目前为止的毛利额累计情况如何？
毛利额，今年累计的总和怎样？
今年的毛利额累计总和是多少？
毛利额，今年累计的总计如何？
本年度毛利额累计的总和情况如何？
今年到目前为止的毛利润总和怎样？
毛利额，今年累计的总计有多少？
今年毛利额的累计总和情况怎样？",指标类,单指标卡片,总部经营罗盘,/package-m/pages/store/index,总部经营罗盘,https://ireport-hq.9zdata.cn/#/general/store,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,,,成本.销售日期='今年',,,select sum(profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily where year(business_date) = year(curdate()),,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区今年的累计毛利额是多少？,,指标类,单指标卡片,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,,门店.区域名称='华南区',成本.销售日期='今年',,门店维度表.区域名称='华南区',select sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_store c on a.store_id = c.store_id where year(a.business_date) = year(curdate()) and c.area_name='华南区',,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",深圳XXX路店今年的累计毛利额是多少？,,指标类,单指标卡片,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,,门店.门店名称='深圳XXX路店',成本.销售日期='今年',,门店维度表.门店名称='深圳XXX路店',select sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_store c on a.store_id = c.store_id where year(a.business_date) = year(curdate()) and c.store_name = '深圳XXX路店',,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",深圳XXX路店婴儿用品品类今年的累计毛利额是多少？,,指标类,单指标卡片,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,,门店.门店名称='深圳XXX路店' AND 商品.大类名称='婴儿用品',成本.销售日期='今年',,门店维度表.门店名称='深圳XXX路店' AND 商品维度表.大类名称='婴儿用品',select sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item d on a.item_id = d.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where year(a.business_date) = year(curdate()) and c.store_name='深圳XXX路店' and d.category_name_level1='婴儿用品',,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,采购【总部】,营销【总部】",上个月毛利额在所有品类中的分布情况是怎样的？,"上月各品类的毛利额分布情况如何？
上月度品类毛利额的分布比例有哪些？
各个品类在上个月的毛利额占比情况是怎样的？
上月的品类毛利额分布图能说明什么？
上个月的毛利额在所有品类中分布均匀吗？
上月度毛利额在各个品类中的分布情况有何特点？
上个月每个品类的毛利额分布情况如何？
上月毛利额在各品类之间的分布情况是怎样的？
上个月份，毛利额在各品类中是如何分布的？
上个月的毛利额分布，品类占比情况如何？
上个月，各品类毛利额的分布情况是怎样的？
上个月的毛利额在所有品类中分布情况如何？
上个月，各品类毛利额占比情况是怎样的？
上月各品类毛利额的分布情况有哪些特点？
上个月，毛利额在各品类中占比情况如何？
上月度毛利额在各品类中的分布情况有哪些？
上个月，品类毛利额分布情况如何？
上个月，毛利额在所有品类中的分布情况是怎样的？
上月度，各品类毛利额的分布情况有哪些？
上个月，品类毛利额分布情况如何？",分布类,多维下钻组件,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.大类名称,,成本.销售日期='上个月',商品维度表.大类名称,,"select d.category_name_level1  as '大类名称' , sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item d on a.item_id = d.item_id where month(a.business_date) = month(date_sub(curdate(), interval 1 month)) and year(a.business_date) = year(date_sub(curdate(), interval 1 month)) group by d.category_name_level1 order by  '毛利额' desc",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上个月毛利额在所有品类中的分布情况是怎样的？,,分布类,多维下钻组件,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.大类名称,门店.区域名称='华南区',成本.销售日期='上个月',商品维度表.大类名称,门店维度表.区域名称='华南区',"select d.category_name_level1  as '大类名称' , sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item d on a.item_id = d.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where month(a.business_date) = month(date_sub(curdate(), interval 1 month)) and year(a.business_date) = year(date_sub(curdate(), interval 1 month)) and c.area_name='华南区' group by d.category_name_level1 order by '毛利额' desc",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",深圳XXX路店上个月毛利额在所有品类中的分布情况是怎样的？,,分布类,多维下钻组件,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.大类名称,门店.门店名称='深圳XXX路店',成本.销售日期='上个月',商品维度表.大类名称,门店维度表.门店名称='深圳XXX路店',"select d.category_name_level1  as '大类名称' , sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item d on a.item_id = d.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where month(a.business_date) = month(date_sub(curdate(), interval 1 month)) and year(a.business_date) = year(date_sub(curdate(), interval 1 month)) and c.store_name = '深圳XXX路店' group by d.category_name_level1 order by '毛利额' desc",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,采购【总部】,营销【总部】",四月毛利额在所有品类中的分布情况是怎样的？,"4月的品类毛利额分布是怎样的？
四月份的毛利额在各个品类之间是如何分配的？
4月的毛利额在各品类中是如何分布的？
四月份每个品类的毛利额占比是多少？
4月的品类毛利额占比情况怎样？
4月，各品类的毛利额分布情况有哪些？
4月，毛利额在各品类中如何分布？
4月的品类毛利额分布情况怎样？
4月，各品类的毛利额占比情况怎样？
4月，毛利额在各品类中如何分配？",分布类,多维下钻组件,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.大类名称,,成本.销售日期='今年4月',商品维度表.大类名称,,"select d.category_name_level1  as '大类名称' , sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item d on a.item_id = d.item_id where month(a.business_date) = 4 and year(a.business_date) = year(curdate()) group by d.category_name_level1 order by '毛利额' desc",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区四月毛利额在所有品类中的分布情况是怎样的？,,分布类,多维下钻组件,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.大类名称,门店.区域名称='华南区',成本.销售日期='今年4月',商品维度表.大类名称,门店维度表.区域名称='华南区',"select d.category_name_level1  as '大类名称' , sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item d on a.item_id = d.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where month(a.business_date) = 4 and year(a.business_date) = year(curdate()) and c.area_name='华南区' group by d.category_name_level1 order by '毛利额' desc",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",深圳XXX路店四月毛利额在所有品类中的分布情况是怎样的？,,分布类,多维下钻组件,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.大类名称,门店.门店名称='深圳XXX路店',成本.销售日期='今年4月',商品维度表.大类名称,门店维度表.门店名称='深圳XXX路店',"select d.category_name_level1  as '大类名称' , sum(a.profit_amt)   as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item d on a.item_id = d.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where month(a.business_date) = 4 and year(a.business_date) = year(curdate()) and c.store_name = '深圳XXX路店' group by d.category_name_level1 order by '毛利额' desc",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,采购【总部】,营销【总部】",昨天毛利额最高的前十个商品是什么？,"昨天毛利额Top10的商品有哪些？
昨天毛利额最高的10个商品包括哪些？
昨天的毛利润最高的前十名商品有哪些？
昨天毛利额最高的十名商品包括什么？
前一天毛利额最高的Top10商品是哪些？
昨天毛利额最高的前十个商品是什么？
昨天毛利润最高的10个商品包括哪些？
昨天的毛利额最高的十名商品有哪些？
昨天毛利额最高的Top10有哪些商品？
昨天毛利额最高的十个商品是什么？
昨日毛利润Top 10商品列表是什么？
前一天毛利额最高的十种商品包括哪些？
昨天毛利额最高的商品Top 10有哪些？
昨日毛利额最高的商品前10名是哪些？
前一天的毛利额Top 10商品有哪些？
昨天毛利润最高的商品前10有哪些？
前一天毛利额最高的商品Top 10是哪些？
昨天毛利额最高的商品前十个是什么？
前一天毛利额最高的十种商品是什么？
昨天毛利额最高的商品Top 10包括哪些？
前一天毛利润最高的商品Top 10有哪些？
昨天毛利额最高的商品前10名包括什么？
前一天毛利润最高的商品前十个是什么？
昨天毛利额最高的商品Top 10有哪些？
",排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,,成本.销售日期='昨天',商品维度表.商品名称,,"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id where a.business_date = date_sub(curdate(), interval 1 day) group by b.item_name order by '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区昨天毛利额最高的前十个商品是什么？,,排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,门店.区域名称='华南区',成本.销售日期='昨天',商品维度表.商品名称,门店维度表.区域名称='华南区',"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where a.business_date = date_sub(curdate(), interval 1 day) and c.area_name='华南区' group by b.item_name order by  '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",深圳XXX路店昨天毛利额最高的前十个商品是什么？,,排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,门店.门店名称='深圳XXX路店',成本.销售日期='昨天',商品维度表.商品名称,门店维度表.门店名称='深圳XXX路店',"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where a.business_date = date_sub(curdate(), interval 1 day) and c.store_name = '深圳XXX路店' group by b.item_name order by  '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",深圳XXX路店婴儿用品品类昨天毛利额最高的前十个商品是什么？,,排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,门店.门店名称='深圳XXX路店' AND 商品.大类名称='婴儿用品',成本.销售日期='昨天',商品维度表.商品名称,门店维度表.门店名称='深圳XXX路店' AND 商品维度表.大类名称='婴儿用品',"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where a.business_date = date_sub(curdate(), interval 1 day) and c.store_name='深圳XXX路店' and b.category_name_level1='婴儿用品' group by b.item_name order by  '毛利额' desc limit 10 ",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",深圳XXX路店花生油小类昨天毛利额最高的前十个商品是什么？,,排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,门店.门店名称='深圳XXX路店' AND 商品.小类名称='花生油',成本.销售日期='昨天',商品维度表.商品名称,门店维度表.门店名称='深圳XXX路店' AND 商品维度表.小类名称='花生油',"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where a.business_date = date_sub(curdate(), interval 1 day) and c.store_name='深圳XXX路店' and b.category_name_level3='花生油' group by b.item_name order by  '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,采购【总部】,营销【总部】",5月9号毛利额最高的前十个商品是什么？,"5月9号的毛利额最高的商品前10名有哪些？
5月9号毛利润最高的前10名商品是什么？
5月9号毛利额最高的十名商品是哪些？
5月9号的毛利额最高的十个商品是什么？
5月9号毛利润最高的前10个商品有哪些？
5月9号哪些商品的毛利额排在前10的？
5月9号毛利额最高的前十名商品有哪些？
5月9号毛利额最高的Top10商品是什么？
5月9号毛利额最高的前10个商品是哪些？
5月9号毛利润最高的前十名商品包括什么？
5月9号毛利额最高的十名商品包括哪些？
5月9号毛利润最高的商品前十个包括什么？
5月9号毛利额最高的商品十名是哪些？
5月9号毛利润最高的商品前10名有哪些？
5月9号毛利额最高的商品前10名是什么？
5月9号毛利额最高的商品十名有哪些？
",排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,,成本.销售日期='今年5月9日',商品维度表.商品名称,,"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id where a.business_date = '2024-05-09' group by b.item_name order by  '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区5月9号毛利额最高的前十个商品是什么？,,排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,门店.区域名称='华南区',成本.销售日期='今年5月9日',商品维度表.商品名称,门店维度表.区域名称='华南区',"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where a.business_date = '2024-05-09' and c.area_name='华南区' group by b.item_name order by  '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",深圳XXX路店5月9号毛利额最高的前十个商品是什么？,,排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,门店.门店名称='深圳XXX路店',成本.销售日期='今年5月9日',商品维度表.商品名称,门店维度表.门店名称='深圳XXX路店',"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where a.business_date = '2024-05-09' and c.store_name = '深圳XXX路店' group by b.item_name order by  '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区婴儿用品品类5月9号毛利额最高的前十个商品是什么？,,排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,门店.区域名称='华南区' AND 商品.大类名称='婴儿用品',成本.销售日期='今年5月9日',商品维度表.商品名称,门店维度表.区域名称='华南区' AND 商品维度表.大类名称='婴儿用品',"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where a.business_date = '2024-05-09' and c.area_name='华南区' and b.category_name_level1='婴儿用品' group by b.item_name order by  '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区花生油小类5月9号毛利额最高的前十个商品是什么？,,排名类,表格,,,,,毛利,"{ ""accuracy"":{ ""毛利额"":2 } , ""joint"":{ } }",,,商品.商品名称,门店.区域名称='华南区' AND 商品.小类名称='花生油',成本.销售日期='今年5月9日',商品维度表.商品名称,门店维度表.区域名称='华南区' AND 商品维度表.小类名称='花生油',"select b.item_name  as '商品名称' , sum(a.profit_amt) as '毛利额'  from vw_dwd_fact_store_item_cost_daily a join vw_dwd_dim_item b on a.item_id = b.item_id join vw_dwd_dim_store c on a.store_id = c.store_id where a.business_date = '2024-05-09' and c.area_name='华南区' and b.category_name_level3='花生油' group by b.item_name order by '毛利额' desc limit 10",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
计划毛利额,"老板【总部】,区域经理【总部】",今年的总计划毛利额是多少？,,指标类,单指标卡片,计划达成追踪,/package-o/pages/plan/index,计划达成追踪,https://ireport-hq.9zdata.cn/#/general/plan,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,,,计划.年='今年',,,SELECT SUM(budget_profit_amt)  as '计划毛利额'  FROM vw_dwd_fact_store_budget WHERE year_id=YEAR(NOW()),,,TO_SQL,Agent,agent-77470006f2f747908cf4d
计划毛利额,"老板【总部】,采购【总部】,营销【总部】",这个月的计划毛利额是多少？,,指标类,单指标卡片,计划达成追踪,/package-o/pages/plan/index,计划达成追踪,https://ireport-hq.9zdata.cn/#/general/plan,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,,,计划.月='当月',,,"SELECT SUM(budget_profit_amt)  as '计划毛利额'  FROM vw_dwd_fact_store_budget budget WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m')",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",这个月华南区的计划毛利额是多少？,,指标类,单指标卡片,计划达成追踪,/package-o/pages/plan/index,计划达成追踪,https://ireport-hq.9zdata.cn/#/general/plan,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,,门店.区域名称='华南区',计划.月='当月',,门店维度表.区域名称='华南区',"SELECT SUM(budget_profit_amt)  as '计划毛利额'  FROM vw_dwd_fact_store_budget budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND store.area_name = '华南区' ",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",这个月深圳XXX路店的计划毛利额是多少？,,指标类,单指标卡片,计划达成追踪,/package-o/pages/plan/index,计划达成追踪,https://ireport-hq.9zdata.cn/#/general/plan,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,,门店.门店名称='深圳XXX路店',计划.月='当月',,门店维度表.门店名称='深圳XXX路店',"SELECT SUM(budget_profit_amt)  as '计划毛利额'  FROM vw_dwd_fact_store_budget budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND store.store_name='深圳XXX路店' ",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
计划毛利额,"老板【总部】,采购【总部】,营销【总部】",这个月婴儿用品品类的计划毛利额是多少？,,指标类,单指标卡片,计划达成追踪,/package-o/pages/plan/index,计划达成追踪,https://ireport-hq.9zdata.cn/#/general/plan,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,,商品.大类名称='婴儿用品',计划.月='当月',,商品维度表.大类名称='婴儿用品',"SELECT SUM(budget_profit_amt)   as '计划毛利额'  FROM vw_dwd_fact_store_budget budget  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND category.category_name='婴儿用品' ",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区这个月婴儿用品品类的计划毛利额是多少？,,指标类,单指标卡片,计划达成追踪,/package-o/pages/plan/index,计划达成追踪,https://ireport-hq.9zdata.cn/#/general/plan,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,,门店.区域名称='华南区' AND 商品.大类名称='婴儿用品',计划.月='当月',,门店维度表.区域名称='华南区' AND 商品维度表.大类名称='婴儿用品',"SELECT SUM(budget_profit_amt)   as '计划毛利额'  FROM vw_dwd_fact_store_budget budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND store.area_name = '华南区' AND category.category_name='婴儿用品' ",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",深圳XXX路店这个月婴儿用品品类的计划毛利额是多少？,,指标类,单指标卡片,计划达成追踪,/package-o/pages/plan/index,计划达成追踪,https://ireport-hq.9zdata.cn/#/general/plan,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,,门店.门店名称='深圳XXX路店' AND 商品.大类名称='婴儿用品',计划.月='当月',,门店维度表.门店名称='深圳XXX路店' AND 商品维度表.大类名称='婴儿用品',"SELECT SUM(budget_profit_amt) as '计划毛利额' FROM vw_dwd_fact_store_budget budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND store.store_name = '深圳XXX路店' AND category.category_name='婴儿用品' ",,,TO_SQL,Agent,agent-77470006f2f747908cf4d
计划毛利额,"老板【总部】,采购【总部】,营销【总部】",这个月各个区域的计划毛利额是多少？,,分布类,多维下钻组件,,,,,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,门店.区域名称,,计划.月='当月',门店维度表.区域名称,,"SELECT store.area_name  as '区域名称' ,SUM(budget_profit_amt) as '计划毛利额'  FROM vw_dwd_fact_store_budget budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') GROUP BY store.area_name ORDER BY '计划毛利额' DESC ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
计划毛利额,"老板【总部】,采购【总部】,营销【总部】",这个月各个品类的计划毛利额是多少？,,分布类,多维下钻组件,,,,,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,商品.大类名称,,计划.月='当月',商品维度表.大类名称,,"SELECT category.category_name  as '大类名称' ,SUM(budget_profit_amt) as '计划毛利额'  FROM vw_dwd_fact_store_budget budget  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') GROUP BY category.category_name ORDER BY '计划毛利额' DESC ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区这个月各个品类的计划毛利额是多少？,,分布类,表格,,,,,计划,"{ ""accuracy"":{ ""计划毛利额"":2 } , ""joint"":{ } }",,,商品.大类名称,门店.区域名称='华南区',计划.月='当月',商品维度表.大类名称,门店维度表.区域名称='华南区',"SELECT category.category_name  as '大类名称' ,SUM(budget_profit_amt) as '计划毛利额'  FROM vw_dwd_fact_store_budget budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE  budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND store.area_name = '华南区' GROUP BY category.category_name ORDER BY '计划毛利额' DESC  ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
